HYG_ID,Name,Code,X,Y,3D_X,3D_Y,3D_Z,Spectrum,AbsMag,ColorIndex,Habitable
12810,1 Eridani,HIP 12843,427,238,9.95545,8.73836,-4.4509,F5/F6V,3.74335165948,0.481,False
41094,1 Hydrae,HIP 41211,645,320,-16.01597,21.92605,-1.78023,F3V,3.4362867171,0.478,False
22396,1 Orionis,HIP 22449,489,278,2.40102,7.59608,0.97269,F6V,3.66759021162,0.484,False
62015,10 Canum Venaticorum,HIP 62207,482,431,-13.18754,-2.62284,10.99689,G0V,4.75098114728,0.557,False
16811,10 Tauri,HIP 16852,483,237,8.02135,11.12959,0.09645,F9V,3.60333975114,0.575,True
44120,10 Ursae Majoris,HIP 44248,602,560,-8.68799,8.63916,10.94835,F5V,2.88165974011,0.463,False
103351,11 Aquarii,HIP 103682,229,287,18.6886,-18.59692,-2.18145,G1V,4.09745899919,0.635,True
14112,11 Eridani,HIP 14146,753,134,16.93647,17.29393,-10.58753,A4V,1.97032941918,0.163,False
118638,11 Leonis Minoris B,Gl 356  B,523,345,-7.32758,5.33783,6.54168,,12.7579017245,None,False
91757,110 Herculis,HIP 92043,232,509,3.53889,-17.52644,6.70188,F6V,2.78541286951,0.483,False
91875,111 Herculis,HIP 92161,243,488,5.50348,-26.44722,8.87187,A5III,2.07086184158,0.148,False
9334,112 Piscium,HIP 9353,417,168,26.8624,15.53253,1.67922,G2IV,3.42793019882,0.61,False
81055,12 Ophiuchi,HIP 81300,110,537,-3.48719,-9.12646,-0.39647,K2V,5.81874127974,0.827,False
45440,128 Carinae,HIP 45571,806,272,-9.23951,7.94092,-31.23114,F4V,2.75326626681,0.415,False
118620,128 Carinae,Gl 340.1B,806,272,-9.24062,7.9402,-31.231,,3.50326626681,None,False
117999,13 Ceti B,Gl  23  B,304,176,20.75931,3.21527,-1.31898,G1 V,4.7839251521,None,False
23797,13 Orionis,HIP 23852,591,150,6.32141,27.18541,4.65698,G1IV,3.89133272585,0.625,False
107446,13 Pegasi,HIP 107788,267,43,26.93483,-17.13558,9.93449,F2III-IV,2.71908206516,0.394,False
11521,13 Trianguli,HIP 11548,452,119,21.25214,16.13256,15.36223,G0V,3.44808010285,0.591,True
44910,13 Ursae Majoris,HIP 45038,506,547,-5.87139,5.36169,18.85446,F7IV-V,3.24521169514,0.489,False
69314,14 Boötis,HIP 69536,443,428,-27.02717,-17.90397,7.46053,F6IV,2.91994488125,0.537,True
