,﻿hyg_id,name,code,x,y,3d_x,3d_y,3d_z,spectrum,absmag,colorindex,habitable,number_matches,type_matches,class_matches,complete,class,type
0,12810,1 Eridani,HIP 12843,427,238,9.95545,8.73836,-4.4509,F5/F6V,3.74335165948,0.481,False,True,True,True,True,F,V
1,41094,1 Hydrae,HIP 41211,645,320,-16.015970000000003,21.92605,-1.78023,F3V,3.4362867170999998,0.478,False,True,True,True,True,F,V
2,22396,1 Orionis,HIP 22449,489,278,2.40102,7.596080000000001,0.9726899999999999,F6V,3.6675902116199994,0.484,False,True,True,True,True,F,V
3,62015,10 Canum Venaticorum,HIP 62207,482,431,-13.18754,-2.62284,10.996889999999999,G0V,4.75098114728,0.557,False,True,True,True,True,G,V
4,16811,10 Tauri,HIP 16852,483,237,8.02135,11.129589999999999,0.09645,F9V,3.60333975114,0.575,True,True,True,True,True,F,V
5,44120,10 Ursae Majoris,HIP 44248,602,560,-8.68799,8.63916,10.94835,F5V,2.88165974011,0.463,False,True,True,True,True,F,V
6,103351,11 Aquarii,HIP 103682,229,287,18.6886,-18.59692,-2.18145,G1V,4.097458999190001,0.635,True,True,True,True,True,G,V
7,14112,11 Eridani,HIP 14146,753,134,16.93647,17.29393,-10.587530000000001,A4V,1.9703294191799998,0.163,False,True,True,True,True,A,V
9,91757,110 Herculis,HIP 92043,232,509,3.5388900000000003,-17.52644,6.70188,F6V,2.7854128695099996,0.483,False,True,True,True,True,F,V
10,91875,111 Herculis,HIP 92161,243,488,5.503480000000001,-26.44722,8.87187,A5III,2.0708618415799998,0.148,False,True,True,True,True,A,I
11,9334,112 Piscium,HIP 9353,417,168,26.8624,15.53253,1.6792200000000002,G2IV,3.4279301988200004,0.61,False,True,True,True,True,G,V
12,81055,12 Ophiuchi,HIP 81300,110,537,-3.48719,-9.12646,-0.39647,K2V,5.818741279739999,0.827,False,True,True,True,True,K,V
13,45440,128 Carinae,HIP 45571,806,272,-9.239510000000001,7.940919999999999,-31.231140000000003,F4V,2.75326626681,0.415,False,True,True,True,True,F,V
15,117999,13 Ceti B,Gl  23  B,304,176,20.75931,3.2152700000000003,-1.3189799999999998,G1 V,4.7839251521,None,False,True,True,True,True,G,V
16,23797,13 Orionis,HIP 23852,591,150,6.32141,27.185409999999997,4.65698,G1IV,3.89133272585,0.625,False,True,True,True,True,G,V
17,107446,13 Pegasi,HIP 107788,267,43,26.934829999999998,-17.135579999999997,9.93449,F2III-IV,2.71908206516,0.394,False,True,True,True,True,F,V
