hyg_id,name,code,x,y,3d_x,3d_y,3d_z,spectrum,absmag,colorindex,habitable,number_matches,type_matches,class_matches,complete,class,type
12810,1 Eridani,HIP 12843,427,238,9.95545,8.73836,-4.4509,F5/F6V,3.7433516595,0.481,False,True,True,True,True,F,V
41094,1 Hydrae,HIP 41211,645,320,-16.01597,21.92605,-1.78023,F3V,3.4362867171,0.478,False,True,True,True,True,F,V
22396,1 Orionis,HIP 22449,489,278,2.40102,7.59608,0.97269,F6V,3.6675902116,0.484,False,True,True,True,True,F,V
62015,10 Canum Venaticorum,HIP 62207,482,431,-13.18754,-2.62284,10.99689,G0V,4.7509811473,0.557,False,True,True,True,True,G,V
16811,10 Tauri,HIP 16852,483,237,8.02135,11.12959,0.09645,F9V,3.6033397511,0.575,True,True,True,True,True,F,V
44120,10 Ursae Majoris,HIP 44248,602,560,-8.68799,8.63916,10.94835,F5V,2.8816597401,0.463,False,True,True,True,True,F,V
103351,11 Aquarii,HIP 103682,229,287,18.6886,-18.59692,-2.18145,G1V,4.0974589992,0.635,True,True,True,True,True,G,V
14112,11 Eridani,HIP 14146,753,134,16.93647,17.29393,-10.58753,A4V,1.9703294192,0.163,False,True,True,True,True,A,V
91757,110 Herculis,HIP 92043,232,509,3.53889,-17.52644,6.70188,F6V,2.7854128695,0.483,False,True,True,True,True,F,V
91875,111 Herculis,HIP 92161,243,488,5.50348,-26.44722,8.87187,A5III,2.0708618416,0.148,False,True,True,True,True,A,I
9334,112 Piscium,HIP 9353,417,168,26.8624,15.53253,1.67922,G2IV,3.4279301988,0.61,False,True,True,True,True,G,V
81055,12 Ophiuchi,HIP 81300,110,537,-3.48719,-9.12646,-0.39647,K2V,5.8187412797,0.827,False,True,True,True,True,K,V
45440,128 Carinae,HIP 45571,806,272,-9.23951,7.94092,-31.23114,F4V,2.7532662668,0.415,False,True,True,True,True,F,V
117999,13 Ceti B,Gl  23  B,304,176,20.75931,3.21527,-1.31898,G1 V,4.7839251521,None,False,True,True,True,True,G,V
23797,13 Orionis,HIP 23852,591,150,6.32141,27.18541,4.65698,G1IV,3.8913327259,0.625,False,True,True,True,True,G,V
107446,13 Pegasi,HIP 107788,267,43,26.93483,-17.13558,9.93449,F2III-IV,2.7190820652,0.394,False,True,True,True,True,F,V
11521,13 Trianguli,HIP 11548,452,119,21.25214,16.13256,15.36223,G0V,3.4480801029,0.591,True,True,True,True,True,G,V
44910,13 Ursae Majoris,HIP 45038,506,547,-5.87139,5.36169,18.85446,F7IV-V,3.2452116951,0.489,False,True,True,True,True,F,V
69314,14 Boötis,HIP 69536,443,428,-27.02717,-17.90397,7.46053,F6IV,2.9199448813,0.537,True,True,True,True,True,F,V
15206,14 Eridani,HIP 15244,481,176,22.39896,25.90282,-5.5186,F1V,3.4392232119,0.407,False,True,True,True,True,F,V
79010,14 Herculis,HIP 79248,364,451,-6.02507,-11.62398,12.5635,K0V,5.3161520551,0.877,False,True,True,True,True,K,V
102475,15 Delphini,HIP 102805,239,594,19.47042,-21.31743,6.42426,F5V,3.6552258538,0.42,False,True,True,True,True,F,V
47977,15 Leonis Minoris,HIP 48113,561,525,-10.75067,6.94252,13.26201,G2V,3.7523989471,0.619,True,True,True,True,True,G,V
107633,15 Pegasi,HIP 107975,285,24,20.58658,-12.80165,13.32385,F6IVWVAR,3.3105415082,0.426,False,True,True,True,True,F,V
96595,16 Cygni B,HIP 96901,324,537,5.85449,-12.29238,16.52726,G5V,4.5965844028,0.661,False,True,True,True,True,G,V
72939,16 Librae,HIP 73165,76,466,-19.91857,-19.43505,-2.115,F0V,2.2412340408,0.318,False,True,True,True,True,F,V
116130,16 Piscium,HIP 116495,265,135,30.80348,-3.1847,1.13665,F6VBWVAR,3.223994827,0.449,False,True,True,True,True,F,V
60169,17 Virginis,HIP 60353,734,474,-29.55281,-2.91533,2.75775,F8V,4.0871677671,0.567,False,True,True,True,True,F,V
69767,18 Boötis,HIP 69989,432,423,-20.86925,-14.514,5.87074,F5IV,3.3276940963,0.385,False,True,True,True,True,F,V
3551,18 Ceti,HIP 3559,244,158,30.44624,6.12223,-7.10146,G2V,3.6339565785,0.603,True,True,True,True,True,G,V
39922,18 Puppis,HIP 40035,657,290,-11.78705,18.38381,-5.36366,F7V,3.7703356472,0.488,True,True,True,True,True,F,V
